fecha,cadena,categoria,precio_unitario,unidad,n_muestras
2026-09-23,acuenta,mayonesa,248.75,100g,1
2026-09-23,acuenta,palta,3000.0,kg,1
2026-09-23,acuenta,salchicha,459.0,100g,3
2026-09-23,acuenta,tomate,1950.0,kg,1
2026-09-23,jumbo,mayonesa,482.89,100g,14
2026-09-23,jumbo,palta,4740.0,kg,2
2026-09-23,jumbo,salchicha,1086.84,100g,3
2026-09-23,jumbo,tomate,2630.0,kg,5
2026-09-23,santaisabel,mayonesa,449.0,100g,15
2026-09-23,santaisabel,palta,5490.0,kg,3
2026-09-23,santaisabel,salchicha,1118.42,100g,3
2026-09-23,santaisabel,tomate,6110.0,kg,1
